"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","사업개시예정일","사업구분명","인가상태명","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"31","노원주유소","서울특별시 노원구 공릉동 596-10번지 ","서울특별시 노원구 동일로 1008 (공릉동)","20010324","운영중","","","","","1157","","20010324","주유소","","02 9485151","206635.79697800000  ","457861.37033000000  ","신규등록"
"32","상계주유소","서울특별시 노원구 상계동 718-2번지 ","서울특별시 노원구 노해로 527 (상계동)","20010324","운영중","","","","","1876.8","","20010324","주유소","","02 9720006","205879.98898700000  ","461821.75107500000  ","신규등록"
"33","성북역주유소","서울특별시 도봉구 창동 825번지 24통4반 북한산아이파크 518동 902호","서울특별시 도봉구 도봉로136길 28 518동 902호 (창동북한산아이파크)","20010324","운영중","","","","","929","","20010324","주유소","","02 9198142","203996.84036800000  ","462166.87509500000  ","신규등록"
"34","당고개주유소","서울특별시 노원구 상계동 110-9번지 ","서울특별시 노원구 덕릉로 805 (상계동)","20010324","운영중","","","","","1379","","34060523","주유소","","029391555","207036.97540700000  ","463248.64078700000  ","신규등록"
"35","순환주유소","서울특별시 노원구 상계동 1049-66번지 ","서울특별시 노원구 동일로 1637  (상계동)","20010324","운영중","","","","","825","","20010324","주유소","","029515452","204843.46727500000  ","463874.31660600000  ","신규등록"
"36","하계삼호주유소","서울특별시 노원구 하계동 141-3번지 ","서울특별시 노원구 공릉로 294 (하계동)","20010324","운영중","","","","","317","","20010324","주유소","","02 9743838","206383.98803100000  ","459339.40496900000  ","신규등록"
"37","삼육주유소","서울특별시 노원구 공릉동 26-63번지 ","서울특별시 노원구 화랑로 822 (공릉동)","20010514","운영중","","","","","960","","20010514","주유소","","02 9493668","209633.83823600000  ","459906.44707100000  ","신규등록"
"38","(주)소모에너지엔테크놀러지 수락산주유소","서울특별시 노원구 상계동 1205-7번지 ","서울특별시 노원구 동일로 1772 (상계동)","20011227","운영중","","","","","765","","20011227","주유소","","0233920473","204927.04137500000  ","465226.81682900000  ","신규등록"
"39","배꽃나라주유소","서울특별시 노원구 공릉동 657번지 1214호 ","서울특별시 노원구 화랑로 466 (공릉동)","20040830","운영중","","","","","1058","","20041101","주유소","","02973 5172","207009.11658800000  ","457676.06637300000  ","신규등록"
"40","화랑대주유소","서울특별시 노원구 공릉동 649-14번지 외1필지 ","서울특별시 노원구 화랑로 483 (공릉동)","20050620","운영중","","","","","977.1","","20110316","주유소","","","207136.54385900000  ","457778.80940800000  ","신규등록"
"41","(주)동하석유  태릉솔밭주유소","서울특별시 노원구 공릉동 230-17번지 ","서울특별시 노원구 노원로 49 (공릉동)","20060616","운영중","","20171023","20171220","20171213","1138","","20070403","주유소","","02 9765189","207552.06580700000  ","458487.22768200000  ","휴지사업재개"
"42","삼육주유소","서울특별시 노원구 공릉동 26-44번지 ","서울특별시 노원구 화랑로60가길 31  (공릉동)","20010213","운영중","","","","","960","","20010228","주유소","","0233993651","209766.99331500000  ","459937.56753800000  ","신규등록"
"43","SK네트웍스(주)노원역주유소","서울특별시 노원구 상계동 706-2번지 ","서울특별시 노원구 노해로75길 20-25 (상계동)","20010324","운영중","","","","","449","","20010331","주유소","","02 9308181","205183.56597300000  ","461714.02572600000  ","신규등록"
"44","상계동주유소","서울특별시 노원구 상계동 387-212번지 ","서울특별시 노원구 노원로26길 191 (상계동)","20010324","운영중","","","","","955","","20010324","주유소","","02 9365035","206284.23103100000  ","462085.39528300000  ","신규등록"
"45","한신주유소","서울특별시 노원구 공릉동 379-17번지 ","서울특별시 노원구 동일로 1089 (공릉동)","20010329","운영중","","","","","1214","","20010329","주유소","","02 9735151","206353.00134800000  ","458599.34944300000  ","신규등록"
"46","태릉솔밭 주유소","서울특별시 광진구 자양동 792번지 8통11반 자양10차현대홈타운아파트 1005동 1001호","","20070315","운영중","","","","","1138","","20070330","주유소","","","206161.555627       ","447913.607016       ","신규등록"
"47","월계주유소","서울특별시 노원구 월계동 935번지 ","서울특별시 노원구 월계로 252 (월계동)","20010324","운영중","","20170817","20170901","20170907","1654","","20010324","주유소","","02 9170816","204480.85192900000  ","458323.93758800000  ","휴지사업재개"
"48","구도일주유소 불암","서울특별시 노원구 중계동 366-8번지 ","서울특별시 노원구 한글비석로 268 (중계동)","20010324","운영중","","20150501","20160103","20160104","","","20010324","주유소","","02 9326850","206831.08038900000  ","461309.63749800000  ","휴지사업재개"
"49","유림주유소","서울특별시 관악구 신림동 112-47번지 ","서울특별시 관악구 신림로 174 (신림동)","19931223","운영중","","20121120","20121130","","1000","","19941129","주유소","","02 8875145","194168.526825       ","441289.201566       ","영업개시"
"50","씨제이대한통운(주)","서울특별시 관악구 신림동 507-24번지 ","서울특별시 관악구 남부순환로 1515 (신림동)","19931223","운영중","","","","","750","","19941124","주유소","","0226328612","192825.90714200000  ","442622.91557300000  ","신규등록"
"51","SK네트웍스(주) 서울셀프주유소","서울특별시 관악구 신림동 406-6번지 ","서울특별시 관악구 신림로 183 (신림동)","19940105","운영중","","","","","1043.58","","19940708","주유소","","02 8885189","194284.90021800000  ","441713.45615500000  ","신규등록"
"52","SK에너지(주) 신봉천주유소","서울특별시 관악구 봉천동 1663-11번지 ","서울특별시 관악구 남부순환로 1880 (봉천동)","19950802","운영중","","","","","713.11","","19960802","주유소","","02 8855913","196320.17994600000  ","442151.75629100000  ","신규등록"
"53","대양석유(주)보라매주유소","서울특별시 관악구 봉천동 729-4번지 ","서울특별시 관악구 보라매로 26 (봉천동)","19960306","운영중","","20150918","20160317","20151109","768","","19960907","주유소","","02 8772833","193570.74997200000  ","443588.05715000000  ","휴지사업재개"
"54","서일석유(주) 락성주유소","서울특별시 관악구 봉천동 1659-1번지 ","서울특별시 관악구 남부순환로 1920 (봉천동)","19760524","운영중","","","","","1367","","19760524","주유소","","02 8770867","196673.32446000000  ","441976.71088500000  ","신규등록"
"55","한규상사 유정주유소","서울특별시 관악구 봉천동 948-17번지 ","서울특별시 관악구 남부순환로 1691 (봉천동)","19800823","운영중","","","","","1401","","19811008","주유소","","02 8820328","194571.19639200000  ","442751.27819900000  ","신규등록"
"56","서울석유(주) 대공원주유소","서울특별시 관악구 남현동 602-306번지 ","서울특별시 관악구 과천대로 921 (남현동)","19820317","운영중","","","","","1252","","19830810","주유소","","02 5842522","198428.03069600000  ","441507.52452700000  ","신규등록"
"57","남현주유소","서울특별시 관악구 남현동 1054-6번지 ","서울특별시 관악구 남부순환로 2014 (남현동)","19890901","운영중","","20131004","20131129","20131222","627","","19900428","주유소","","02 5214300","197567.74418900000  ","441788.42172300000  ","휴지사업재개"
"58","난곡주유소","서울특별시 관악구 신림동 616-1번지 ","서울특별시 관악구 난곡로 206 (신림동)","19890907","운영중","","20090315","20100520","20100520","201","","19901005","주유소","","02 8582003","192816.12185900000  ","441559.43109200000  ","휴지사업재개"
"59","신관주유소","서울특별시 관악구 신림동 1641-58번지 ","서울특별시 관악구 신림로 290 (신림동)","19891023","운영중","","","","","651","","19900618","주유소","","02 8711356","193881.62855800000  ","442346.41823200000  ","신규등록"
"60","현대주유소","서울특별시 관악구 신림동 666-14번지 ","서울특별시 관악구 난곡로 108 (신림동)","19900918","운영중","","20110412","20111231","","307","","20111220","주유소","","02 8519100","192893.12606300000  ","440619.54499600000  ","휴지사업재개"
"61","시몬주유소","서울특별시 관악구 봉천동 912-15번지 ","서울특별시 관악구 남부순환로 1753 (봉천동)","19920214","운영중","","20121120","20121231","","610","","19930325","주유소","","02 8745185","195143.59610900000  ","442557.72216200000  ","영업개시"
"62","문성골주유소","서울특별시 관악구 신림동 1477-5번지 ","서울특별시 관악구 문성로 97 (신림동)","19920214","운영중","","","","","691","","19930201","주유소","","02 8390081","192427.25705300000  ","442051.38150000000  ","신규등록"
"63","SK네트웍스(주) 관악로주유소","서울특별시 관악구 봉천동 37-82번지 ","서울특별시 관악구 관악로 260 (봉천동)","19920721","운영중","","","","","509","","19931006","주유소","","02 8833131","196289.86390400000  ","443089.91538700000  ","신규등록"
"64","방아다리주유소","서울특별시 강동구 명일동 216-5번지 ","서울특별시 강동구 동남로 811 (명일동)","19990528","운영중","","","","","930","","20000527","주유소","","02 4775109","213741.30309200000  ","449627.63428600000  ","신규등록"
"65","신월주유소","서울특별시 강동구 성내동 439-16번지 ","서울특별시 강동구 양재대로 1323 (성내동)","19760503","운영중","","","","","1719","","19760503","주유소","","02 4752600","211882.41008400000  ","447235.69811000000  ","신규등록"
"66","대성석유(주)길동주유소","서울특별시 강동구 둔촌동 66-2번지 ","서울특별시 강동구 천호대로 1168 (둔촌동)","19760504","운영중","","20120314","20120830","20120706","884","","19760504","주유소","","024747222","212478.77268900000  ","448222.67376400000  ","휴지사업재개"
"67","광성주유소","서울특별시 강동구 천호동 354-4번지 ","서울특별시 강동구 올림픽로 673 (천호동)","19710527","운영중","","20131101","20140131","20140203","990","","19710527","주유소","","02 4780370","210980.08065600000  ","449131.84837100000  ","휴지사업재개"
"68","sk네트웍스(주)고속주유소","서울특별시 강동구 둔촌동 600-1번지 ","서울특별시 강동구 천호대로 1246 (둔촌동)","19890407","운영중","","","","","1322","","19890407","주유소","","02 4721996","213201.93095200000  ","448574.51584200000  ","신규등록"
"69","SK네트웍스(주)암사주유소","서울특별시 강동구 암사동 513-27번지 ","서울특별시 강동구 올림픽로 749 (암사동)","19890420","운영중","","20081001","20081020","20081016","1596","","19890420","주유소","","0234272044","211177.29257400000  ","449882.57683300000  ","휴지사업재개"
"70","(주)소모에너지엔테크놀러지 성내주유소","서울특별시 강동구 성내동 108-9번지 107-7 ","서울특별시 강동구 올림픽로 578 (성내동)","19891014","운영중","","","","","1084","","19891014","주유소","","02 4793838","210783.82571400000  ","448202.61231100000  ","신규등록"
"71","(주)선우지에스엠 Q엔느 강동주유소","서울특별시 강동구 길동 368-5번지 ","서울특별시 강동구 양재대로 1509 (길동)","19891207","운영중","","20090901","20100228","20091218","1756","","19891207","주유소","","02477 5101","212436.40548500000  ","449039.17364900000  ","휴지사업재개"
"72","SK네트웍스(주)명일주유소","서울특별시 강동구 명일동 305-51번지 ","서울특별시 강동구 고덕로 168 (명일동)","19920127","운영중","","20130725","20140119","","662","","19920127","주유소","","0234280719","212725.01230000000  ","450560.31771700000  ","휴지사업재개"
"73","씨제이대한통운㈜ 직영 천호점주유소","서울특별시 강동구 천호동 308-11번지 ","서울특별시 강동구 천중로 67 (천호동)","19930519","운영중","","20140514","20140715","20140806","607","","19930519","주유소","","02  473 5189","211443.91823300000  ","449526.17619500000  ","휴지사업재개"
"74","㈜지유에너지 직영 오렌지주유소","서울특별시 강동구 성내동 385-4번지 ","서울특별시 강동구 성안로 102 (성내동)","19930519","운영중","","","","","991","","19930519","주유소","","02 4846165","211773.82270200000  ","448099.62005200000  ","신규등록"
"75","구천면주유소","서울특별시 강동구 암사동 425-187번지 ","서울특별시 강동구 구천면로 357 (암사동)","19930621","운영중","","","","","317","","19930621","주유소","","02 4410536","212214.84151000000  ","450113.46073200000  ","신규등록"
"76","구도일주유소 코알라","서울특별시 강동구 성내동 319-1번지 ","서울특별시 강동구 올림픽로 556 (성내동)","19930621","운영중","","20130401","20140331","20140310","978","","19930621","주유소","","02  481 1162","210717.02397600000  ","447992.81743900000  ","휴지사업재개"
"77","알이디씨 주식회사(천동주유소)","서울특별시 강동구 천호동 458-3번지 ","서울특별시 강동구 천호대로 987 (천호동)","19931216","운영중","","20110420","20111231","20110616","734","","19931216","주유소","","02 4731556","210817.10748500000  ","448891.53957100000  ","휴지사업재개"
"78","SK네트웍스(주) 직영 한미주유소","서울특별시 강동구 성내동 550번지 ","서울특별시 강동구 성내로 32 (성내동)","19931230","운영중","","20140301","20140331","20140401","1009","","19931230","주유소","","02 4731981","210945.78689800000  ","447757.42237700000  ","휴지사업재개"
"79","(주)삼표에너지 고덕주유소","서울특별시 강동구 암사동 441-14번지 ","서울특별시 강동구 고덕로 39 (암사동)","20020628","운영중","","","","","1318","","20020628","주유소","","02 4413227","211473.07822200000  ","450627.99969400000  ","신규등록"
"80","SK 네트웍스(주) 길동주유소","서울특별시 강동구 길동 255-2번지 ","서울특별시 강동구 천호대로 1221 (길동)","19970712","운영중","","","","","1174","","19970712","주유소","","4883491","212949.66855900000  ","448527.01834400000  ","신규등록"
"81","해뜨는 주유소","서울특별시 강동구 강일동 642-1번지 ","서울특별시 강동구 상일로 132 (강일동)","20090715","운영중","","","","","1400","","20090715","주유소","","0204427802","215143.43961200000  ","451040.37022700000  ","신규등록"
"82","코끼리주유소","서울특별시 은평구 녹번동 154-1번지 ","서울특별시 은평구 서오릉로 41 (녹번동)","19931213","운영중","","20140618","20140810","20140910","665","","19940713","주유소","","02 3844000","193308.25267900000  ","456101.19996200000  ","휴지사업재개"
"83","타이거주유소","서울특별시 은평구 증산동 222-6번지 ","서울특별시 은평구 수색로 188 (증산동)","19940222","운영중","","","","","","","19940922","주유소","","02 3099145","191361.62585700000  ","453226.96461900000  ","신규등록"
"84","신사제일주유소","서울특별시 은평구 신사동 35-11번지 ","서울특별시 은평구 증산로 423 (신사동)","19971022","운영중","","","","","","","19980622","주유소","","02 3084333","192399.27168800000  ","454951.13423900000  ","신규등록"
"85","불광주유소","서울특별시 은평구 불광동 105-118번지 ","서울특별시 은평구 연서로 314 (불광동)","19920509","운영중","","","","","502","","19921209","주유소","","02 3825189","193639.07011800000  ","458185.56339800000  ","신규등록"
"86","다회주유소","서울특별시 은평구 신사동 34-37번지 ","서울특별시 은평구 증산로 441 (신사동)","19920509","운영중","","","","","495","","19921209","주유소","","02 3755156","192452.23979700000  ","455123.58914300000  ","신규등록"
"87","삼융주유소","서울특별시 은평구 수색동 379-8번지 ","서울특별시 은평구 수색로 299 (수색동)","19920509","운영중","","","","","495","","19921209","주유소","","02 3089971","190390.67246100000  ","453831.72836300000  ","신규등록"
"88","삼미상사(주)북부주유소","서울특별시 도봉구 쌍문동 103-7번지 ","서울특별시 도봉구 도봉로 437 (쌍문동)","19700622","운영중","","","","","2244","","19700622","주유소","","00029925561","202846.95450900000  ","460631.53917200000  ","신규등록"
"89","극동유화(주) 대안주유소","서울특별시 도봉구 창동 744번지 ","서울특별시 도봉구 마들로 574 (창동)","19931231","운영중","","","","","1743.9","","19931231","주유소","","000209966640","204224.81910000000  ","462450.95803300000  ","신규등록"
"90","한유이엔지주식회사 KLP제1주유소","서울특별시 도봉구 창동 731-19번지 ","서울특별시 도봉구 도봉로 596 (창동)","19931214","운영중","","","","","776.25","","20131213","주유소","","02  902 5189","203581.93812700000  ","462015.37857900000  ","신규등록"
"91","도봉주유소","서울특별시 도봉구 도봉동 561-6번지 ","서울특별시 도봉구 도봉로 895 (도봉동)","19700926","운영중","","20090323","20090630","","1640.7","","19700926","주유소","","9540118","204015.43632300000  ","464986.30288400000  ","신규등록"
"92","(주)디케이비엠시구도일주유소 도봉","서울특별시 도봉구 방학동 705-15번지 ","서울특별시 도봉구 도봉로 706 (방학동)","19760524","운영중","","20120501","20120913","","1142","","19760524","주유소","","0234913454","203853.63821900000  ","463114.17380400000  ","영업개시"
"93","(주)송만에너지 도봉제일주유소","서울특별시 도봉구 도봉동 601-55번지 ","서울특별시 도봉구 도봉로 783 (도봉동)","19920424","운영중","","","","","262.2","","19920424","주유소","","02  956 8544","203887.55527300000  ","463869.62102700000  ","신규등록"
"94","현대오일뱅크(주)직영 쌍문셀프주유소(쌍문점)","서울특별시 도봉구 쌍문동 342-1번지 ","서울특별시 도봉구 노해로 161 (쌍문동)","19920424","운영중","","","","","791","","19920424","주유소","","029989 704","202366.55265400000  ","461051.02470400000  ","신규등록"
"95","오복주유소","서울특별시 도봉구 방학동 724-5번지 ","서울특별시 도봉구 방학로 43 (방학동)","20090130","운영중","","","","","903.1","","20090202","주유소","","02  34941500","204185.96109000000  ","462516.41227000000  ","영업개시"
"96","쌍문주유소","서울특별시 도봉구 쌍문동 699번지 ","서울특별시 도봉구 도봉로 547 (쌍문동)","19960713","운영중","","","","","779.7","","19960713","주유소","","02  992 0220","203312.47328300000  ","461597.57029000000  ","영업개시"
"97","정다운주유소","서울특별시 도봉구 쌍문동 707번지 920호 ","서울특별시 도봉구 도봉로 635 (쌍문동)","19950401","운영중","","","","","796","","19950401","주유소","","02  996 1405","203670.63687800000  ","462393.95062300000  ","영업개시"
"98","(주)디케이비엠시 서현주유소","서울특별시 도봉구 방학동 691번지 345호 ","서울특별시 도봉구 방학로 142 (방학동)","19931013","운영중","","","","","1175.4","","19931013","주유소","","0209545400","203213.84304300000  ","462607.58642800000  ","신규등록"
"99","해와달주유소","서울특별시 도봉구 도봉동 629번지 ","서울특별시 도봉구 마들로 776 (도봉동)","19930723","운영중","","","","","809.9","","19930723","주유소","","02  956 1600","204388.72528700000  ","464373.90659600000  ","신규등록"
"100","동일석유(주)창동주유소","서울특별시 도봉구 창동 650-65번지 ","서울특별시 도봉구 도봉로 434 (창동)","19950209","운영중","","","","","887.4","","19950718","주유소","","02 9025544","202901.12997700000  ","460556.94119800000  ","영업개시"
"101","대성산업(주)신창주유소","서울특별시 도봉구 창동 603-84번지 ","서울특별시 도봉구 덕릉로 267 (창동)","19891013","운영중","","","","","1129","","19891013","주유소","","02 9054441","203556.66890200000  ","460204.55885600000  ","신규등록"
"102","방학동주유소(GS칼텍스)","서울특별시 도봉구 방학동 668-10번지 ","서울특별시 도봉구 방학로 186 (방학동)","19861230","운영중","","","","","920.6","","19861230","주유소","","0234911733","202789.67164300000  ","462537.96978700000  ","신규등록"
"103","SK네트웍스(주) 영신주유소","서울특별시 도봉구 방학동 671-2번지 ","서울특별시 도봉구 방학로 151 (방학동)","19960713","운영중","","","","","998","","19960728","주유소","","02 9565152","203126.10074900000  ","462531.27822800000  ","영업개시"
"104","(주)소모에너지엔테크놀러지 신중계주유소","서울특별시 도봉구 방학동 725-9520호 ","서울특별시 도봉구 방학로 21 (방학동)","19891013","운영중","","","","","885.5","","19891013","주유소","","0234924732","204404.42648500000  ","462466.50466500000  ","신규등록"
"105","SK북악주유소","서울특별시 종로구 평창동 103-1번지 ","서울특별시 종로구 평창문화로 137 (평창동)","19930703","운영중","","","","","432","","20170707","주유소","","02 3956500","197780.66198000000  ","456696.79425600000  ","신규등록"
"106","(주)마봉 안풍주유소","서울특별시 종로구 홍지동 126-1번지 ","서울특별시 종로구 자하문로 303 (홍지동)","19930807","운영중","","","","","512.12","","19930807","주유소","","02 3965055","196394.17837000000  ","455515.98856100000  ","신규등록"
"107","(주)지에스이앤알 평창주유소","서울특별시 종로구 평창동 80-1번지 ","서울특별시 종로구 평창문화로 135 (평창동)","19940224","운영중","","","","","746.72","","20041005","주유소","","07088740602","197753.68390100000  ","456684.09273800000  ","신규등록"
"108","구도일주유소 특종","서울특별시 종로구 평창동 198-1번지 ","서울특별시 종로구 평창문화로 90 (평창동)","19960425","운영중","","20171206","20180115","20171226","714","","19960425","주유소","","02 3796524","197443.42528300000  ","456348.27159200000  ","휴지사업재개"
"109","SK네트웍스(주)재동주유소","서울특별시 종로구 경운동 96-18번지 ","서울특별시 종로구 율곡로 58 (경운동)","19590910","운영중","","","","","421","","19590910","주유소","","02 7348738","198759.69767300000  ","452994.88843400000  ","신규등록"
"110","주식회사 대양씨앤씨 경복궁주유소","서울특별시 종로구 중학동 14번지 ","서울특별시 종로구 율곡로 6 (중학동)","19690706","운영중","","","","20110120","210.9","","19690706","주유소","","027328780","198277.66117900000  ","452883.30356200000  ","휴지사업재개"
"111","주식회사 대양씨앤씨","서울특별시 종로구 사직동 262-85번지 ","서울특별시 종로구 사직로 65 (사직동)","19731228","운영중","","","","","603.29","","19731228","주유소","","02 7354858","197053.61404200000  ","452777.85389200000  ","신규등록"
"112","(주)중앙에너비스혜화지점","서울특별시 종로구 혜화동 102-2번지 ","서울특별시 종로구 창경궁로35길 1 (혜화동)","19751219","운영중","","","","","624","","19751219","주유소","","07087074563","200095.26835300000  ","454064.94966700000  ","신규등록"
"113","무궁화주유소","서울특별시 은평구 응암동 594-1번지 ","서울특별시 은평구 응암로 163 (응암동)","19930623","운영중","","","","","390","","19930623","주유소","","02 3089264","192576.14577700000  ","454136.56336900000  ","신규등록"
"114","증산주유소","서울특별시 은평구 증산동 174-1번지 ","서울특별시 은평구 증산로 275 (증산동)","19930708","운영중","","","","","327","","19940208","주유소","","023034446","191841.62115200000  ","453648.46752700000  ","신규등록"
