기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
2018	동대문구	제기동	4	38,612	60,984	-	-	-	-	-	-	2	18,829	37,812	-	-	-	-	-	-	2	19,783	23,172
2018	동대문구	전농1동	4	52,465	379,671	1	8,666	177,793	1	33,839	177,793	-	-	-	-	-	-	-	-	-	2	9,960	24,085
2018	동대문구	답십리1동	1	1,665	4,046	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,665	4,046
2018	동대문구	장안1동	1	4,308	42,570	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,308	42,570
2018	동대문구	장안2동	2	10,515	63,240	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	10,515	63,240
2018	동대문구	이문1동	1	4,968	32,442	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,968	32,442
2018	동대문구	이문2동	1	1,774	3,392	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,774	3,392
2018	중랑구	소계	14	98,711	586,582	6	59,713	257,850	-	-	-	-	-	-	-	-	-	1	16,011	232,943	7	22,987	95,789
2018	중랑구	면목5동	1	7,776	10,461	1	7,776	10,461	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	중랑구	면목7동	1	3,867	3,978	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,867	3,978
2018	중랑구	상봉1동	2	34,603	292,923	1	18,592	59,980	-	-	-	-	-	-	-	-	-	1	16,011	232,943	-	-	-
2018	중랑구	상봉2동	2	12,016	37,515	1	9,776	34,043	-	-	-	-	-	-	-	-	-	-	-	-	1	2,240	3,472
2018	중랑구	중화2동	1	3,047	26,680	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,047	26,680
2018	중랑구	묵1동	1	4,256	84,710	1	4,256	84,710	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	중랑구	망우3동	1	1,321	7,154	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,321	7,154
2018	중랑구	신내1동	1	4,137	21,610	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,137	21,610
2018	중랑구	신내2동	2	16,723	60,247	1	9,907	29,118	-	-	-	-	-	-	-	-	-	-	-	-	1	6,816	31,129
2018	중랑구	면목본동	1	1,559	1,766	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,559	1,766
2018	중랑구	망우본동	1	9,406	39,538	1	9,406	39,538	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	성북구	소계	21	87,861	329,447	3	34,768	163,782	1	35,955	88,679	-	-	-	-	-	-	1	6,473	26,488	16	10,665	50,498
2018	성북구	돈암2동	3	5,781	35,520	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5,781	35,520
2018	성북구	보문동	2	516	675	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	516	675
2018	성북구	정릉1동	1	257	264	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	257	264
2018	성북구	길음1동	5	1,913	11,550	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1,913	11,550
2018	성북구	길음2동	3	45,717	109,314	2	9,762	20,635	1	35,955	88,679	-	-	-	-	-	-	-	-	-	-	-	-
2018	성북구	월곡1동	1	686	746	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	686	746
2018	성북구	월곡2동	2	25,086	143,247	1	25,006	143,147	-	-	-	-	-	-	-	-	-	-	-	-	1	80	100
2018	성북구	성북동	1	544	544	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	544	544
2018	성북구	삼선동	2	888	1,099	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	888	1,099
2018	성북구	동선동	1	6,473	26,488	-	-	-	-	-	-	-	-	-	-	-	-	1	6,473	26,488	-	-	-
2018	강북구	소계	13	83,831	192,783	1	8,319	19,709	1	45,651	73,173	-	-	-	2	7,925	37,901	-	-	-	9	21,936	62,000
2018	강북구	번1동	1	1,959	2,904	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,959	2,904
2018	강북구	수유1동	2	7,239	28,173	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7,239	28,173
2018	강북구	수유2동	1	1,061	2,122	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,061	2,122
2018	강북구	수유3동	2	5,350	7,751	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	5,350	7,751
2018	강북구	삼양동	2	11,040	26,787	1	8,319	19,709	-	-	-	-	-	-	-	-	-	-	-	-	1	2,721	7,078
2018	강북구	송중동	3	53,576	111,074	-	-	-	1	45,651	73,173	-	-	-	2	7,925	37,901	-	-	-	-	-	-
2018	강북구	송천동	1	2,747	11,204	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,747	11,204
2018	강북구	인수동	1	858	2,769	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	858	2,769
2018	도봉구	소계	9	53,923	141,130	3	25,115	91,084	-	-	-	-	-	-	-	-	-	-	-	-	6	28,808	50,046
2018	도봉구	방학1동	2	20,644	78,308	2	20,644	78,308	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	도봉구	방학3동	1	3,294	4,666	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,294	4,666
2018	도봉구	창2동	2	9,489	12,288	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	9,489	12,288
2018	도봉구	창5동	1	4,471	12,776	1	4,471	12,776	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	도봉구	도봉1동	1	1,477	1,810	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,477	1,810
2018	도봉구	도봉2동	2	14,548	31,282	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	14,548	31,282
2018	노원구	소계	14	164,758	506,793	2	14,655	94,373	2	50,179	132,704	-	-	-	1	35,563	99,968	-	-	-	9	64,361	179,748
2018	노원구	월계3동	1	35,563	99,968	-	-	-	-	-	-	-	-	-	1	35,563	99,968	-	-	-	-	-	-
2018	노원구	하계1동	1	10,209	21,109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10,209	21,109
2018	노원구	중계본동	1	10,150	20,657	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10,150	20,657
2018	노원구	중계1동	1	8,311	38,456	1	8,311	38,456	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	노원구	상계1동	1	3,263	24,995	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,263	24,995
2018	노원구	상계2동	3	51,576	133,771	-	-	-	1	39,887	72,915	-	-	-	-	-	-	-	-	-	2	11,689	60,856
2018	노원구	상계5동	1	7,863	14,890	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,863	14,890
2018	노원구	중계2.3동	4	31,954	144,101	1	6,344	55,917	1	10,292	59,789	-	-	-	-	-	-	-	-	-	2	15,318	28,395
2018	노원구	공릉1동	1	5,869	8,846	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,869	8,846
2018	은평구	소계	17	142,095	482,248	2	22,986	139,162	-	-	-	-	-	-	4	37,538	145,047	1	57,505	160,220	10	24,066	37,819
2018	은평구	불광1동	3	15,623	25,873	-	-	-	-	-	-	-	-	-	1	6,172	8,687	-	-	-	2	9,451	17,186
2018	은평구	갈현2동	1	3,223	4,912	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,223	4,912
2018	은평구	대조동	3	28,617	101,803	-	-	-	-	-	-	-	-	-	2	26,324	97,074	-	-	-	1	2,293	4,729
2018	은평구	응암1동	1	16,105	58,384	1	16,105	58,384	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	은평구	응암2동	1	649	1,688	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	649	1,688
2018	은평구	증산동	1	2,130	2,171	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,130	2,171
2018	은평구	수색동	2	7,856	81,852	1	6,881	80,778	-	-	-	-	-	-	-	-	-	-	-	-	1	975	1,074
2018	은평구	진관동	1	57,505	160,220	-	-	-	-	-	-	-	-	-	-	-	-	1	57,505	160,220	-	-	-
2018	은평구	불광2동	2	5,920	40,781	-	-	-	-	-	-	-	-	-	1	5,042	39,286	-	-	-	1	878	1,495
2018	은평구	응암3동	2	4,467	4,564	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4,467	4,564
2018	서대문구	소계	9	80,282	199,525	-	-	-	1	35,472	84,575	-	-	-	-	-	-	-	-	-	8	44,810	114,950
2018	서대문구	홍제3동	1	2,982	4,321	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,982	4,321
2018	서대문구	홍은1동	1	6,606	35,627	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,606	35,627
2018	서대문구	남가좌1동	2	2,950	3,617	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2,950	3,617
2018	서대문구	남가좌2동	1	1,397	6,865	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,397	6,865
2018	서대문구	신촌동	3	63,042	145,376	-	-	-	1	35,472	84,575	-	-	-	-	-	-	-	-	-	2	27,570	60,801
2018	서대문구	연희동	1	3,305	3,719	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,305	3,719
2018	마포구	소계	16	77,831	657,614	3	30,122	446,005	-	-	-	1	6,726	29,002	1	9,445	54,235	-	-	-	11	31,538	128,372
2018	마포구	대흥동	1	6,592	13,741	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,592	13,741
2018	마포구	신수동	1	907	1,092	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	907	1,092
2018	마포구	서교동	5	29,626	319,251	1	8,699	219,613	-	-	-	1	6,726	29,002	1	9,445	54,235	-	-	-	2	4,756	16,401
2018	마포구	합정동	1	1,109	5,433	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,109	5,433
2018	마포구	망원2동	1	1,406	31,841	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,406	31,841
2018	마포구	연남동	1	438	492	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	438	492
2018	마포구	성산2동	2	29,016	181,735	1	16,679	164,416	-	-	-	-	-	-	-	-	-	-	-	-	1	12,337	17,319
2018	마포구	서강동	1	2,493	38,658	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,493	38,658
2018	마포구	공덕동	3	6,244	65,371	1	4,744	61,976	-	-	-	-	-	-	-	-	-	-	-	-	2	1,500	3,395
2018	양천구	소계	20	149,357	453,681	1	14,074	59,518	1	62,577	239,441	-	-	-	1	19,765	47,172	-	-	-	17	52,941	107,550
2018	양천구	목1동	3	96,416	346,131	1	14,074	59,518	1	62,577	239,441	-	-	-	1	19,765	47,172	-	-	-	-	-	-
2018	양천구	목2동	1	1,350	3,020	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,350	3,020
2018	양천구	목3동	2	8,742	38,910	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,742	38,910
2018	양천구	목4동	2	8,112	14,975	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,112	14,975
2018	양천구	신월1동	2	6,171	7,110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,171	7,110
2018	양천구	신월2동	1	1,906	2,320	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,906	2,320
2018	양천구	신월3동	1	2,059	834	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,059	834
2018	양천구	신월6동	1	2,385	2,718	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,385	2,718
2018	양천구	신월7동	2	3,399	5,081	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,399	5,081
2018	양천구	신정1동	2	6,779	3,463	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,779	3,463
2018	양천구	신정2동	1	5,439	1,240	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,439	1,240
2018	양천구	신정7동	1	3,143	14,142	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,143	14,142
2018	양천구	신정4동	1	3,456	13,737	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,456	13,737
2018	강서구	소계	15	170,268	695,800	3	47,408	167,576	1	34,259	110,026	-	-	-	1	67,679	315,098	-	-	-	10	20,922	103,100
2018	강서구	염창동	1	2,652	21,851	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,652	21,851
2018	강서구	등촌1동	2	22,936	71,790	1	20,680	69,465	-	-	-	-	-	-	-	-	-	-	-	-	1	2,256	2,325
2018	강서구	등촌3동	1	34,259	110,026	-	-	-	1	34,259	110,026	-	-	-	-	-	-	-	-	-	-	-	-
2018	강서구	화곡3동	1	1,927	2,793	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,927	2,793
2018	강서구	화곡4동	1	1,422	2,314	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,422	2,314
2018	강서구	가양2동	1	10,037	45,018	1	10,037	45,018	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	강서구	가양3동	1	16,691	53,093	1	16,691	53,093	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	강서구	발산1동	1	1,812	18,077	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,812	18,077
2018	강서구	방화1동	1	3,160	20,992	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,160	20,992
2018	강서구	방화2동	2	70,381	318,680	-	-	-	-	-	-	-	-	-	1	67,679	315,098	-	-	-	1	2,702	3,582
2018	강서구	화곡1동	3	4,991	31,166	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4,991	31,166
2018	구로구	소계	24	318,487	1,830,202	4	40,587	569,584	2	61,978	210,647	-	-	-	1	4,389	13,224	-	-	-	17	211,533	1,036,747
2018	구로구	신도림동	2	49,135	304,142	1	11,914	187,697	1	37,221	116,445	-	-	-	-	-	-	-	-	-	-	-	-
2018	구로구	구로1동	1	2,762	7,262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,762	7,262
2018	구로구	구로3동	1	9,927	38,946	1	9,927	38,946	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	구로구	구로4동	1	4,703	5,091	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,703	5,091
2018	구로구	구로5동	4	74,019	800,821	1	6,924	283,043	1	24,757	94,202	-	-	-	-	-	-	-	-	-	2	42,338	423,576
2018	구로구	고척1동	5	44,557	139,308	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	44,557	139,308
2018	구로구	고척2동	1	3,085	9,973	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,085	9,973
2018	구로구	개봉2동	1	1,360	1,515	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,360	1,515
2018	구로구	개봉3동	1	2,464	9,650	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,464	9,650
2018	구로구	오류1동	2	6,897	16,954	-	-	-	-	-	-	-	-	-	1	4,389	13,224	-	-	-	1	2,508	3,730
2018	구로구	구로2동	5	119,578	496,540	1	11,822	59,898	-	-	-	-	-	-	-	-	-	-	-	-	4	107,756	436,642
2018	금천구	소계	15	328,702	968,962	3	51,761	160,588	-	-	-	-	-	-	6	114,559	532,549	1	16,023	98,996	5	146,359	176,829
2018	금천구	가산동	5	97,050	355,242	-	-	-	-	-	-	-	-	-	4	81,027	256,247	1	16,023	98,996	-	-	-
2018	금천구	독산1동	7	90,228	508,187	2	36,789	99,953	-	-	-	-	-	-	2	33,531	276,302	-	-	-	3	19,908	131,931
2018	금천구	시흥1동	1	14,972	60,635	1	14,972	60,635	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	금천구	시흥3동	2	126,451	44,898	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	126,451	44,898
2018	영등포구	소계	28	342,134	1,248,636	5	58,789	392,973	2	50,499	146,749	2	11,963	113,125	3	82,630	385,067	1	38,727	84,288	15	99,526	126,434
2018	영등포구	여의도동	2	41,939	288,192	1	3,212	203,904	-	-	-	-	-	-	-	-	-	1	38,727	84,288	-	-	-
2018	영등포구	당산1동	1	21,754	21,754	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	21,754	21,754
2018	영등포구	당산2동	1	4,447	6,123	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,447	6,123
2018	영등포구	양평1동	2	22,167	75,927	2	22,167	75,927	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	영등포구	신길1동	1	1,574	1,574	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,574	1,574
2018	영등포구	신길3동	3	11,267	11,267	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	11,267	11,267
2018	영등포구	신길6동	1	1,822	11,549	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,822	11,549
2018	영등포구	대림1동	1	2,149	9,726	-	-	-	-	-	-	-	-	-	1	2,149	9,726	-	-	-	-	-	-
2018	영등포구	대림2동	1	19,797	19,797	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	19,797	19,797
2018	영등포구	대림3동	1	1,509	17,013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,509	17,013
2018	영등포구	영등포본동	1	38,605	128,171	-	-	-	1	38,605	128,171	-	-	-	-	-	-	-	-	-	-	-	-
2018	영등포구	영등포동	8	112,688	453,341	1	7,891	47,000	1	11,894	18,578	-	-	-	2	80,481	375,341	-	-	-	4	12,422	12,422
2018	영등포구	도림동	1	1,794	1,794	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,794	1,794
2018	영등포구	문래동	4	60,622	202,407	1	25,519	66,142	-	-	-	2	11,963	113,125	-	-	-	-	-	-	1	23,140	23,140
2018	동작구	소계	6	23,288	35,219	-	-	-	1	11,900	15,248	-	-	-	-	-	-	-	-	-	5	11,388	19,971
2018	동작구	상도1동	1	1,182	2,323	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,182	2,323
2018	동작구	상도2동	1	1,699	4,865	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,699	4,865
2018	동작구	상도3동	1	1,905	4,076	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,905	4,076
2018	동작구	사당4동	1	1,551	1,798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,551	1,798
2018	동작구	흑석동	1	5,051	6,909	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,051	6,909
2018	동작구	사당2동	1	11,900	15,248	-	-	-	1	11,900	15,248	-	-	-	-	-	-	-	-	-	-	-	-
2018	관악구	소계	11	72,107	290,068	1	8,692	32,282	1	21,061	91,647	-	-	-	1	3,384	7,870	3	23,322	87,194	5	15,648	71,075
2018	관악구	보라매동	1	21,061	91,647	-	-	-	1	21,061	91,647	-	-	-	-	-	-	-	-	-	-	-	-
2018	관악구	청림동	2	5,330	36,625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	5,330	36,625
2018	관악구	행운동	1	3,384	7,870	-	-	-	-	-	-	-	-	-	1	3,384	7,870	-	-	-	-	-	-
2018	관악구	남현동	1	8,692	32,282	1	8,692	32,282	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	관악구	서원동	1	15,913	37,758	-	-	-	-	-	-	-	-	-	-	-	-	1	15,913	37,758	-	-	-
2018	관악구	신림동	1	4,053	22,986	-	-	-	-	-	-	-	-	-	-	-	-	1	4,053	22,986	-	-	-
2018	관악구	조원동	1	3,821	6,280	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,821	6,280
2018	관악구	대학동	1	4,379	23,320	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,379	23,320
2018	관악구	청룡동	1	3,356	26,450	-	-	-	-	-	-	-	-	-	-	-	-	1	3,356	26,450	-	-	-
